,row_id,x,y,accuracy,time,place_id
110510,110510,2.4739,2.2157,78,8140,2634419689
111266,111266,2.4661,2.4229,77,536508,5806536504
111976,111976,2.31,2.1913,65,761792,8635054095
113173,113173,2.406,2.2069,25,766888,6194212209
113475,113475,2.1952,2.2382,65,567407,1684493063
113505,113505,2.1271,2.1241,62,198065,4907914053
113627,113627,2.3963,2.2851,53,120347,6201971924
113979,113979,2.0612,2.0732,205,766336,1247398579
114742,114742,2.2942,2.2582,6,665655,4707444542
114886,114886,2.2472,2.3189,74,42702,9775192577
115412,115412,2.0797,2.1774,464,129615,2850087121
115436,115436,2.3169,2.1946,65,403657,8635054095
115620,115620,2.4885,2.1018,66,395955,1288374589
115797,115797,2.0735,2.0698,126,555734,5048587154
116304,116304,2.3209,2.1825,64,87680,7877745055
116310,116310,2.4353,2.273,67,287141,8237698803
116685,116685,2.2877,2.2516,53,43731,1207701286
117036,117036,2.0077,2.2547,21,424611,6276467807
117489,117489,2.0025,2.1428,13,334399,6232319657
117885,117885,2.3348,2.0718,62,666062,5932915072
118132,118132,2.1413,2.0593,64,621433,8901439897
118352,118352,2.497,2.2852,167,699857,9805459825
118990,118990,2.3734,2.216,91,619781,7569430051
119069,119069,2.0997,2.3847,67,642109,6612358638
119159,119159,2.0598,2.1859,9,162524,6471527236
119223,119223,2.4852,2.2302,158,109607,7168649657
119267,119267,2.251,2.4862,1,85644,5674526599
119557,119557,2.1019,2.0851,32,616856,9427381460
119705,119705,2.2976,2.131,64,400914,7868329727
119792,119792,2.183,2.0862,322,683083,4495329161
120600,120600,2.2353,2.013,401,578500,3539133103
121161,121161,2.4538,2.1381,24,491612,3002793420
121439,121439,2.0654,2.4805,130,215391,9904182060
121471,121471,2.2288,2.1324,70,643525,5336264513
122861,122861,2.3041,2.1842,67,715642,9983648790
123115,123115,2.019,2.2784,79,33032,7200786396
123560,123560,2.4486,2.2554,103,589099,1124621228
123923,123923,2.114,2.033,196,558103,3321697389
125101,125101,2.2969,2.371,65,546003,5819752598
125370,125370,2.27,2.4584,14,296426,1999597424
125528,125528,2.3956,2.3764,62,739792,5967678921
125628,125628,2.3426,2.2655,167,37527,5201352257
125909,125909,2.4289,2.1804,59,310375,5072077312
126152,126152,2.2254,2.0127,21,540935,3539133103
126425,126425,2.1104,2.3686,72,491686,8980163153
127691,127691,2.2421,2.3086,69,327883,9775192577
128422,128422,2.4952,2.1913,25,601891,3087893237
128727,128727,2.0808,2.422,17,112417,6914819828
129179,129179,2.3675,2.2139,63,320514,1891783132
129270,129270,2.2877,2.199,61,671359,8635054095
129347,129347,2.3555,2.053,87,704625,5373881646
129380,129380,2.018,2.2932,62,394656,7200786396
130186,130186,2.4251,2.0973,287,680152,9136362008
130560,130560,2.467,2.0526,77,180942,6024996273
130726,130726,2.4396,2.0123,67,596730,1026507711
130913,130913,2.1263,2.3648,64,704870,8980163153
131019,131019,2.2344,2.3422,34,360207,1763501324
132288,132288,2.378,2.1418,68,478306,3958678140
133561,133561,2.135,2.0611,64,740379,8901439897
133850,133850,2.2983,2.01,15,718741,1923792485
134430,134430,2.0417,2.4274,149,478145,6914819828
134485,134485,2.1328,2.075,9,107183,4495329161
134759,134759,2.0998,2.0585,5,222000,1247398579
135299,135299,2.481,2.3375,27,552415,7847671162
135650,135650,2.0104,2.1496,17,300234,2842463785
136183,136183,2.4505,2.2787,108,677144,5611157367
136630,136630,2.3165,2.4954,3,61,3661555534
137032,137032,2.0853,2.1679,17,295637,2850087121
137656,137656,2.0854,2.1862,185,323039,2850087121
138222,138222,2.3349,2.0314,33,719462,8370836121
138428,138428,2.3311,2.395,53,776683,7547963563
139044,139044,2.4122,2.4555,73,109997,1837168749
139486,139486,2.0706,2.415,248,755289,7058877770
139737,139737,2.2045,2.2947,8,169135,2326073244
140204,140204,2.418,2.3364,66,170828,4980449560
140285,140285,2.3906,2.208,65,435826,2636621520
140785,140785,2.3922,2.4342,65,704283,9854557730
140793,140793,2.2439,2.1049,20,38844,9929803766
140961,140961,2.3678,2.2641,55,690254,9804124209
141040,141040,2.44,2.3641,40,519023,6178218782
141169,141169,2.3027,2.194,61,316878,9983648790
141707,141707,2.4817,2.2408,64,705125,2634419689
141761,141761,2.3816,2.4189,70,712921,9854557730
142544,142544,2.4099,2.0643,225,688195,2225211839
142689,142689,2.3262,2.4413,33,735470,2579541805
143264,143264,2.2404,2.492,61,659290,8636259224
143915,143915,2.4718,2.2691,56,445366,5265295166
144199,144199,2.1412,2.3089,4,673997,9775192577
145125,145125,2.2381,2.2356,54,740394,1207701286
145385,145385,2.3949,2.3273,307,319415,1433734251
145748,145748,2.3284,2.225,74,408275,4604774741
145838,145838,2.2608,2.2052,144,703640,9799635093
146069,146069,2.4958,2.2368,68,371669,7168649657
147137,147137,2.3462,2.2691,74,597377,1441208082
147519,147519,2.2625,2.3534,68,688045,3610237287
147750,147750,2.494,2.3075,63,208903,9416485781
148234,148234,2.4028,2.1382,163,684881,1330607544
148370,148370,2.1165,2.2366,32,611656,1366800572
150033,150033,2.2005,2.0076,66,382857,3539133103
150246,150246,2.0354,2.4716,81,698815,9904182060
150416,150416,2.2933,2.197,62,573394,7877745055
150434,150434,2.3567,2.0906,57,422695,8283681418
151807,151807,2.1347,2.0539,76,751802,8901439897
151858,151858,2.1771,2.3497,63,254250,8914246980
152221,152221,2.2387,2.3527,51,338538,8708549361
152382,152382,2.373,2.267,7,169090,5201352257
152538,152538,2.322,2.2953,70,631415,4556103271
153111,153111,2.4947,2.3375,169,509073,2089023022
153189,153189,2.3878,2.3813,56,513591,5967678921
153333,153333,2.4449,2.095,69,495193,2841202360
153757,153757,2.3261,2.0904,72,14640,4740794071
154494,154494,2.2499,2.0644,69,722291,9082794995
154932,154932,2.2336,2.2294,66,492798,1207701286
155085,155085,2.0875,2.0957,690,753818,3455925971
155818,155818,2.063,2.433,7,405616,5737973743
155963,155963,2.1738,2.0035,70,372674,1877229383
156200,156200,2.1039,2.0597,67,744132,8901439897
156483,156483,2.3682,2.2564,34,256939,9804124209
156867,156867,2.0186,2.129,49,482271,1654137180
157405,157405,2.1055,2.4007,71,346968,3869813743
157634,157634,2.0737,2.2484,11,395090,6237264419
158174,158174,2.216,2.0207,10,55453,9349969073
158623,158623,2.1535,2.0946,63,482685,3455925971
159340,159340,2.0817,2.4763,64,143770,4827214712
159631,159631,2.211,2.1732,57,414060,9411632641
159706,159706,2.2532,2.477,62,612236,3661555534
161269,161269,2.4131,2.2454,31,674838,5336109353
161525,161525,2.0589,2.471,167,136863,9904182060
162117,162117,2.4207,2.475,64,225118,1951613663
162130,162130,2.258,2.4987,54,599050,3661555534
162206,162206,2.0431,2.4169,72,554161,6914819828
162209,162209,2.3181,2.3361,155,537564,1763501324
163045,163045,2.1937,2.2697,35,492324,5996801204
163517,163517,2.1294,2.2421,59,683258,8892552079
164237,164237,2.2993,2.2517,63,401878,3733805904
164682,164682,2.3808,2.2044,31,524289,1113141722
165235,165235,2.3988,2.1759,35,383970,4620101952
165557,165557,2.3701,2.1413,29,325595,3958678140
166151,166151,2.4485,2.3108,49,175043,6339928285
166203,166203,2.0479,2.231,14,419986,8385342574
166410,166410,2.1808,2.3552,519,735230,8768948979
167095,167095,2.4405,2.0913,33,13657,8968965707
167210,167210,2.0333,2.2722,60,577630,6276467807
167936,167936,2.3397,2.4922,4,79375,7309958589
168506,168506,2.2862,2.4084,66,770452,2579541805
168683,168683,2.1809,2.2393,108,587314,8329829655
168726,168726,2.3406,2.25,155,393532,6999024158
168744,168744,2.033,2.4807,67,97258,9904182060
168787,168787,2.3765,2.2781,6,378094,4891942888
169295,169295,2.237,2.4379,40,533842,9670508674
169385,169385,2.3995,2.0039,52,24568,1299025140
169435,169435,2.0232,2.0247,41,541243,1877229383
169442,169442,2.3958,2.29,269,702342,6201971924
169551,169551,2.0094,2.2859,68,192559,7456731357
169678,169678,2.3754,2.0253,70,784747,1923792485
170004,170004,2.0533,2.0091,62,364579,9145140443
171073,171073,2.0295,2.4338,48,351415,5737973743
172182,172182,2.4661,2.4447,8,92373,7563828622
172193,172193,2.3734,2.2788,84,711763,5100539171
172406,172406,2.3,2.2087,68,33275,9983648790
173423,173423,2.3873,2.0892,257,192613,7707520131
173463,173463,2.2531,2.3316,70,271598,9775192577
174177,174177,2.3871,2.0062,43,413366,3953913889
174386,174386,2.2164,2.189,14,29327,9786352208
175228,175228,2.4026,2.1375,38,565319,1330607544
175872,175872,2.0358,2.4423,73,435868,5737973743
176180,176180,2.4142,2.4316,14,341868,3167534146
176890,176890,2.0514,2.4963,61,113883,8632641802
177043,177043,2.2394,2.0044,177,267761,3539133103
177076,177076,2.419,2.2276,54,219396,1891783132
177559,177559,2.3926,2.1385,62,376031,3958678140
178101,178101,2.4581,2.3369,62,551351,4980449560
178257,178257,2.2568,2.3738,82,700288,3610237287
178425,178425,2.2441,2.1868,101,94750,8475789800
178476,178476,2.0828,2.4202,68,313638,6914819828
178497,178497,2.175,2.3956,139,568248,8375359147
178517,178517,2.0414,2.139,76,752270,6202536485
179286,179286,2.3182,2.2628,117,41074,6999024158
179483,179483,2.0618,2.4272,65,187208,6914819828
180108,180108,2.0631,2.108,9,258985,2060394704
180537,180537,2.0152,2.4189,4,80592,6914819828
181375,181375,2.3171,2.1189,7,701938,8283681418
182917,182917,2.4923,2.2278,65,609119,7168649657
182974,182974,2.3474,2.0042,9,646994,9349969073
183760,183760,2.4252,2.3836,86,663832,3615845346
183958,183958,2.4196,2.3995,13,102566,1366565827
184272,184272,2.2016,2.1087,16,650969,2368590810
184566,184566,2.2301,2.0713,164,712923,7727090889
184594,184594,2.2764,2.0077,23,322462,3539133103
185308,185308,2.3364,2.1145,34,514681,8283681418
185804,185804,2.1597,2.001,164,351075,1412788381
186121,186121,2.2649,2.335,13,118689,3399431058
186728,186728,2.3746,2.1327,30,111918,1885938103
186770,186770,2.067,2.1707,81,778052,2850087121
186963,186963,2.4097,2.3694,104,651488,3615845346
187347,187347,2.1852,2.2085,61,670168,4027129926
188526,188526,2.086,2.1095,70,450339,1040557418
188653,188653,2.4137,2.2535,61,653568,6989100050
189331,189331,2.2341,2.2391,76,154535,1207701286
189608,189608,2.4953,2.2175,54,493898,6415973399
190102,190102,2.0047,2.0355,176,143464,7248270800
190288,190288,2.0578,2.2087,851,710714,6002242333
190342,190342,2.2955,2.1652,61,740227,9983648790
190696,190696,2.3632,2.4634,18,558865,1334374939
191642,191642,2.3771,2.4717,167,205858,8913970044
191769,191769,2.062,2.4282,65,149890,6914819828
192286,192286,2.1377,2.018,5,173349,9349969073
193392,193392,2.3976,2.4474,166,258893,8913970044
193562,193562,2.1484,2.2354,72,600257,3826621337
194201,194201,2.0033,2.0735,54,762863,3455925971
194492,194492,2.1999,2.4776,73,584233,2879029322
194777,194777,2.0367,2.3565,729,214857,6201772680
194927,194927,2.0182,2.4225,7,526321,7058877770
194988,194988,2.432,2.1494,75,104055,3958678140
194992,194992,2.0849,2.0422,4,562681,3675914261
195822,195822,2.4692,2.1638,70,701967,8396498986
196190,196190,2.3405,2.0061,8,692957,6731326909
196355,196355,2.4932,2.2617,4,256635,5265295166
197259,197259,2.411,2.4384,37,576750,4308153774
197929,197929,2.2029,2.2946,54,314360,5996801204
198140,198140,2.0503,2.4313,8,100826,6914819828
198335,198335,2.242,2.106,23,365287,9929803766
198361,198361,2.0091,2.4198,5,338747,1725082831
198380,198380,2.3663,2.202,17,605141,2636621520
198922,198922,2.0697,2.4364,70,21559,6914819828
199734,199734,2.1704,2.4036,64,647614,8375359147
200008,200008,2.2187,2.0078,99,214416,3539133103
200215,200215,2.1603,2.1897,159,58317,6471527236
200372,200372,2.1309,2.2722,67,440591,7456731357
200413,200413,2.1558,2.0465,2,206237,2090618632
200682,200682,2.3239,2.1162,56,744081,8283681418
201265,201265,2.1146,2.3596,51,513291,8980163153
202064,202064,2.0992,2.2748,52,781697,1926758801
202254,202254,2.4335,2.2381,61,49715,5336109353
202375,202375,2.3896,2.3529,3,174936,3122317405
203383,203383,2.0848,2.0656,150,530250,1247398579
203607,203607,2.0556,2.4397,76,202767,6914819828
203679,203679,2.115,2.3977,78,738317,8375359147
204009,204009,2.281,2.2651,96,744468,3733805904
204565,204565,2.2041,2.3856,5,178351,7827992499
205988,205988,2.4859,2.2098,14,9185,7842906061
206191,206191,2.4462,2.2389,51,605173,4372969211
206341,206341,2.2525,2.0813,638,454427,3455925971
206787,206787,2.3211,2.1943,161,328219,9983648790
207542,207542,2.047,2.2824,22,777444,4665760829
208057,208057,2.1812,2.1822,65,743244,8635054095
208921,208921,2.3175,2.1872,213,776274,9983648790
209010,209010,2.3932,2.2514,56,408192,6999024158
209127,209127,2.2128,2.1787,14,136856,9983648790
209682,209682,2.2982,2.0137,156,613426,9702953972
210106,210106,2.3184,2.3734,15,648926,8416001620
210472,210472,2.3348,2.097,298,378341,7707520131
211533,211533,2.1309,2.0881,43,349689,4495329161
211820,211820,2.2275,2.2194,10,114118,9866421927
211940,211940,2.1242,2.0583,75,286914,2518938724
212272,212272,2.3718,2.3832,3,28347,5967678921
213876,213876,2.2797,2.3349,52,147359,3399431058
214321,214321,2.0572,2.4439,70,20179,6914819828
214613,214613,2.3619,2.2611,57,395743,6999024158
214769,214769,2.4643,2.2971,47,760520,7327800834
214958,214958,2.4742,2.3655,75,43391,6329243787
215057,215057,2.3909,2.3652,64,124933,5967678921
215097,215097,2.3216,2.1195,4,416923,8283681418
215460,215460,2.4218,2.1383,198,154037,3958678140
215916,215916,2.4147,2.0858,9,57322,6551263469
216939,216939,2.2325,2.4932,13,152090,1184115878
217908,217908,2.1006,2.1233,875,682159,8805392384
219217,219217,2.3174,2.1801,69,627362,9983648790
219672,219672,2.4442,2.1651,63,347472,8619926191
219698,219698,2.0168,2.1257,63,727488,1806417252
220004,220004,2.2707,2.178,67,552287,6471527236
220736,220736,2.1488,2.3295,72,287922,4331207376
220848,220848,2.2014,2.247,151,782280,1207701286
220999,220999,2.4025,2.1823,565,366882,2636621520
221211,221211,2.1652,2.3443,58,781336,8914246980
221729,221729,2.3071,2.239,60,752849,2215885112
222086,222086,2.1162,2.1952,65,674763,6471527236
223463,223463,2.1613,2.1742,167,422432,9411632641
223488,223488,2.4878,2.2419,167,102094,7168649657
224044,224044,2.181,2.2793,5,348533,5996801204
224065,224065,2.4182,2.4578,159,465680,7398982187
224322,224322,2.0455,2.4271,63,678811,7058877770
224484,224484,2.1942,2.2464,534,165825,1207701286
225791,225791,2.0981,2.3982,40,783940,5682148659
227051,227051,2.0609,2.38,19,785658,8980163153
227119,227119,2.3091,2.2051,74,174185,9983648790
227364,227364,2.3021,2.3679,173,535980,5819752598
227503,227503,2.1992,2.3151,204,427676,9775192577
227900,227900,2.4164,2.389,15,238246,3615845346
227953,227953,2.1101,2.2328,54,501640,8777387701
228108,228108,2.3697,2.3733,67,132927,5967678921
228462,228462,2.0768,2.0987,22,23346,4830766946
228467,228467,2.1183,2.213,10,187261,1025585791
228497,228497,2.3583,2.3838,7,232410,5967678921
229076,229076,2.4354,2.3061,1,302903,7611408742
